index,user_ptr_id,sales_executive_id,created_by
0,01e773e8-6a68-4d3f-827c-af6a3a7bb310,503ca95c2c911dd3c5c75ecb76f92a819643b927,266d783e-bf4e-4238-be46-c40379a3b734
1,87bee0bb-1fe1-4bd6-8bbf-488f6179f867,,e7690e6f-c967-402e-9c84-aa363e575b81
2,b5d020bd-93b2-4022-a5ee-17ec04b78883,,266d783e-bf4e-4238-be46-c40379a3b734
