index,user_ptr_id,si_id
0,48c869b5-d25b-4569-b6f9-06d37377937e,e396a732-c187-477a-8d94-7a4def2f1678
1,06462483-5c47-4992-817e-fecb1d397b52,e396a732-c187-477a-8d94-7a4def2f1678
2,2bd25cba-bc6b-463f-982e-65ffc32d8864,
3,59c9d75e-7665-43d7-8b15-e47903837e83,
